un;a
lieu;place
plan;plan
avion;plane
plante;planet
planification;planning
planter;plant
plastique;plastic
assiette;plate
plateforme;platform
jouer;play
joueur;player
S'il vous plaît;please
plaisir;pleasure
abondance;plenty
complot;plot
plus;plus
PM;PM
poche;pocket
pome;poem
pote;poet
poésie;poetry
point;point
pôle;pole
police;police
politique;policy
politique;political
politiquement;politically
politicien;politician
politique;politics
scrutin;poll
pollution;pollution
mare;pool
pauvre;poor
pop;pop
populaire;popular
population;population
véranda;porch
port;port
part;portion
portrait;portrait
dépeindre;portray
pose;pose
position;position
Positif;positive
posséder;possess
possibilité;possibility
possible;possible
peut-tre;possibly
Publier;post
marmite;pot
pomme de terre;potato
potentiel;potential
potentiellement;potentially
piler;pound
pour;pour
pauvreté;poverty
poudre;powder
pouvoir;power
puissant;powerful
pratique;practical
pratique;practice
prier;pray
prire;prayer
précisément;precisely
prédire;predict
préférer;prefer
préférence;preference
grossesse;pregnancy
enceinte;pregnant
préparation;preparation
préparer;prepare
ordonnance;prescription
présence;presence
présent;present
présentation;presentation
préserver;preserve
président;president
présidentiel;presidential
presser;press
pression;pressure
prétendre;pretend
joli;pretty
empcher;prevent
précédent;previous
auparavant;previously
prix;price
orgueil;pride
prtre;priest
principalement;primarily
primaire;primary
premier;prime
principal;principal
principe;principle
imprimer;print
préalable;prior
priorité;priority
prison;prison
prisonnier;prisoner
vie privée;privacy
privé;private
probablement;probably
problme;problem
procédure;procedure
procéder;proceed
processus;process
produire;produce
producteur;producer
produit;product
production;production
profession;profession
professionnel;professional
professeur;professor
profil;profile
bénéfice;profit
programme;program
progrs;progress
projet;project
proéminent;prominent
promesse;promise
promouvoir;promote
prompt;prompt
preuve;proof
convenable;proper
convenablement;properly
propriété;property
proportion;proportion
proposition;proposal
propose;propose
proposé;proposed
procureur;prosecutor
perspective;prospect
protéger;protect
protection;protection
protéine;protein
protestation;protest
fier;proud
prouver;prove
fournir;provide
fournisseur;provider
province;province
disposition;provision
psychologique;psychological
psychologue;psychologist
psychologie;psychology
public;public
publication;publication
publiquement;publicly
publier;publish
éditeur;publisher
tirer;pull
punition;punishment
achat;purchase
aussi;pure
but;purpose
poursuivre;pursue
pousser;push
mettre;put
qualifier;qualify
qualité;quality
quartier;quarter
quarterback;quarterback
question;question
rapide;quick
vite;quickly
tranquille;quiet
tranquillement;quietly
démissionner;quit
assez;quite
citer;quote
course;race
racial;racial
radical;radical
radio;radio
rail;rail
pluie;rain
élever;raise
gamme;range
rang;rank
rapide;rapid
rapidement;rapidly
rare;rare
rarement;rarely
taux;rate
plutôt;rather
notation;rating
ratio;ratio
Cru;raw
atteindre;reach
réagir;react
réaction;reaction
lire;read
lecteur;reader
lecture;reading
prt;ready
réel;real
réalité;reality
réaliser;realize
vraiment;really
raison;reason
raisonnable;reasonable
rappeler;recall
recevoir;receive
récent;recent
récemment;recently
recette;recipe
reconnaissance;recognition
reconnaître;recognize
Recommander;recommend
recommandation;recommendation
enregistrer;record
enregistrement;recording
guérir;recover
récupération;recovery
recruter;recruit
rouge;red
réduire;reduce
réduction;reduction
parrainer;refer
référence;reference
réfléchir;reflect
réflexion;reflection
réforme;reform
réfugié;refugee
refuse;refuse
considérer;regard
concernant;regarding
de toute faon;regardless
régime;regime
région;region
régional;regional
registre;register
régulier;regular
régulirement;regularly
réglementer;regulate
réglementation;regulation
renforcer;reinforce
rejeter;reject
relater;relate
relation;relation
relation;relationship
parent;relative
relativement;relatively
se détendre;relax
libérer;release
Pertinent;relevant
relief;relief
religion;religion
religieux;religious
dépendre;rely
rester;remain
restant;remaining
remarquable;remarkable
se souvenir;remember
rappeler;remind
lointain;remote
enlever;remove
répéter;repeat
plusieurs fois;repeatedly
remplacer;replace
répondre;reply
rapport;report
reporter;reporter
représenter;represent
représentation;representation
représentant;representative
Républicain;Republican
réputation;reputation
demander;request
exiger;require
exigence;requirement
recherche;research
chercheur;researcher
ressembler;resemble
réservation;reservation
résident;resident
résister;resist
résistance;resistance
résolution;resolution
résoudre;resolve
recours;resort
ressource;resource
respect;respect
répondre;respond
personne interrogée;respondent
réponse;response
responsabilité;responsibility
responsable;responsible
se reposer;rest
restaurant;restaurant
restaurer;restore
restriction;restriction
résultat;result
retenir;retain
se retirer;retire
retraite;retirement
rendre;return
révéler;reveal
revenu;revenue
révision;review
révolution;revolution
rythme;rhythm
riz;rice
riche;rich
débarrasser;rid
chevaucher;ride
fusil;rifle
Droite;right
bague;ring
se lever;rise
risque;risk
fleuve;river
route;road
rocher;rock
rôle;role
rouler;roll
romantique;romantic
toit;roof
chambre;room
racine;root
corde;rope
rose;rose
rugueux;rough
environ;roughly
Rond;round
route;route
routine;routine
ramer;row
frotter;rub
rgle;rule
Courir;run
course;running
rural;rural
se précipiter;rush
Russe;Russian
sacré;sacred
triste;sad
sér;safe
sécurité;safety
saké;sake
salade;salad
salaire;salary
vente;sale
ventes;sales
sel;salt
mme;same
échantillon;sample
sanction;sanction
sable;sand
satellite;satellite
satisfaction;satisfaction
satisfaire;satisfy
sauce;sauce
sauvegarder;save
épargne;saving
dire;say
écaille;scale
scandale;scandal
Effrayé;scared
scénario;scenario
scne;scene
horaire;schedule
schéma;scheme
savant;scholar
bourse;scholarship
école;school
science;science
scientifique;scientific
scientifique;scientist
portée;scope
score;score
crier;scream
écran;screen
script;script
mer;sea
rechercher;search
saison;season
sige;seat
deuxime;second
secret;secret
secrétaire;secretary
section;section
secteur;sector
sér;secure
sécurité;security
voir;see
Graines;seed
chercher;seek
sembler;seem
segment;segment
saisir;seize
choisir;select
sélection;selection
mme;self
vendre;sell
Sénat;Senate
sénateur;senator
Envoyer;send
supérieur;senior
sens;sense
sensible;sensitive
phrase;sentence
séparer;separate
séquence;sequence
série;series
sérieux;serious
sérieusement;seriously
servir;serve
service;service
session;session
poser;set
réglage;setting
régler;settle
rglement;settlement
Sept;seven
plusieurs;several
Forte douleur;severe
sexe;sex
sexuel;sexual
ombre;shade
ombre;shadow
secouer;shake
Est;shall
forme;shape
Partager;share
tranchant;sharp
elle;she
feuille;sheet
étagre;shelf
coquille;shell
abri;shelter
Période de travail;shift
briller;shine
bateau;ship
chemise;shirt
merde;shit
choc;shock
chaussure;shoe
tirer;shoot
tir;shooting
boutique;shop
achats;shopping
rivage;shore
court;short
bientôt;shortly
tir;shot
devoir;should
épaule;shoulder
crier;shout
montrer;show
douche;shower
hausser les épaules;shrug
fermer;shut
malade;sick
côté;side
soupir;sigh
vue;sight
signe;sign
signal;signal
importance;significance
significatif;significant
significativement;significantly
silence;silence
silencieux;silent
argent;silver
semblable;similar
de la mme faon;similarly
simple;simple
simplement;simply
sans;sin
depuis;since
chanter;sing
chanteur;singer
célibataire;single
couler;sink
monsieur;sir
Soeur;sister
s'asseoir;sit
site;site
situation;situation
Six;six
taille;size
ski;ski
habileté;skill
peau;skin
ciel;sky
esclave;slave
dormir;sleep
tranche;slice
glisser;slide
léger;slight
légrement;slightly
glisser;slip
lent;slow
lentement;slowly
petit;small
intelligent;smart
odeur;smell
sourire;smile
fumée;smoke
lisse;smooth
casser;snap
neige;snow
ainsi;so
prétendu;so-called
football;soccer
social;social
société;society
mou;soft
logiciel;software
terre;soil
solaire;solar
soldat;soldier
solide;solid
solution;solution
résoudre;solve
quelques;some
quelqu'un;somebody
D'une manire ou d'une;somehow
quelqu'un;someone
quelque chose;something
parfois;sometimes
légrement;somewhat
quelque part;somewhere
son;son
chanson;song
bientôt;soon
sophistiqué;sophisticated
Pardon;sorry
trier;sort
âme;soul
son;sound
soupe;soup
source;source
Sud;south
austral;southern
Soviétique;Soviet
espace;space
Espagnol;Spanish
parler;speak
orateur;speaker
spécial;special
spécialiste;specialist
espce;species
spécifique;specific
spécifiquement;specifically
discours;speech
vitesse;speed
dépenser;spend
dépense;spending
filer;spin
esprit;spirit
spirituel;spiritual
fendre;split
porte-parole;spokesman
sport;sport
tache;spot
Propagation;spread
source;spring
carré;square
presser;squeeze
stabilité;stability
étable;stable
personnel;staff
étape;stage
marche;stair
pieu;stake
Debout;stand
standard;standard
debout;standing
étoile;star
Vieux;stare
commencer;start
état;state
déclaration;statement
gare;station
statistiques;statistics
statut;status
rester;stay
régulier;steady
voler;steal
acier;steel
pas;step
bâton;stick
encore;still
remuer;stir
stock;stock
estomac;stomach
pierre;stone
arrter;stop
stockage;storage
boutique;store
tempte;storm
histoire;story
Droit;straight
étrange;strange
étranger;stranger
stratégique;strategic
stratégie;strategy
ruisseau;stream
rue;street
force;strength
fortifier;strengthen
stress;stress
étirer;stretch
frapper;strike
corde;string
bande;strip
caresser;stroke
fort;strong
fortement;strongly
structure;structure
lutter;struggle
étudiant;student
studio;studio
étudier;study
bourrer;stuff
stupide;stupid
style;style
Objet;subject
Envoyer;submit
suivant;subsequent
substance;substance
substantiel;substantial
réussir;succeed
succs;success
réussi;successful
avec succs;successfully
tel;such
soudain;sudden
soudainement;suddenly
poursuivre en justice;sue
souffrir;suffer
suffisant;sufficient
sucre;sugar
suggérer;suggest
suggestion;suggestion
suicide;suicide
complet;suit
été;summer
sommet;summit
soleil;sun
super;super
approvisionnement;supply
soutien;support
partisan;supporter
supposer;suppose
supposé;supposed
Suprme;Supreme
sér;sure
sérement;surely
Surface;surface
chirurgie;surgery
surprendre;surprise
étonné;surprised
surprenant;surprising
étonnamment;surprisingly
entourer;surround
enqute;survey
survie;survival
survivre;survive
survivant;survivor
souponner;suspect
soutenir;sustain
jurer;swear
balayer;sweep
sucré;sweet
nager;swim
Balanoire;swing
interrupteur;switch
symbole;symbol
Symptôme;symptom
systme;system
table;table
cuillre à soupe;tablespoon
tactique;tactic
queue;tail
prendre;take
tel;tale
talent;talent
parler;talk
grand;tall
tank;tank
robinet;tap
bande;tape
cible;target
tâche;task
goéter;taste
Taxe;tax
contribuable;taxpayer
thé;tea
enseigner;teach
enseignant;teacher
enseignement;teaching
équipe;team
larme;tear
petite cuillre;teaspoon
technique;technical
technique;technique
Technologie;technology
adolescent;teen
adolescent;teenager
téléphone;telephone
télescope;telescope
télévision;television
raconter;tell
température;temperature
temporaire;temporary
Dix;ten
tendre;tend
tendance;tendency
tennis;tennis
tension;tension
tente;tent
terme;term
petits caractres;terms
terrible;terrible
territoire;territory
terreur;terror
terrorisme;terrorism
terroriste;terrorist
test;test
témoigner;testify
témoignage;testimony
test;testing
SMS;text
que;than
remercier;thank
merci;thanks
cela;that
le;the
théâtre;theater
leur;their
eux;them
thme;theme
eux-mmes;themselves
alors;then
théorie;theory
thérapie;therapy
là;there
donc;therefore
ceux-ci;these
ils;they
épais;thick
mince;thin
chose;thing
penser;think
pensée;thinking
troisime;third
Trente;thirty
ceci;this
ces;those
bien que;though
pensée;thought
Mille;thousand
menace;threat
menacer;threaten
Trois;three
gorge;throat
par;through
partout;throughout
jeter;throw
ainsi;thus
billet;ticket
attacher;tie
serré;tight
Heure;time
minuscule;tiny
pourboire;tip
pneu;tire
fatigué;tired
tissu;tissue
titre;title
à;to
tabac;tobacco
Aujourd'hui;today
fermer;toe
ensemble;together
tomate;tomato
demain;tomorrow
ton;tone
langue;tongue
ce soir;tonight
aussi;too
outil;tool
dent;tooth
Retour au début;top
sujet;topic
jeter;toss
total;total
totalement;totally
Toucher;touch
dur;tough
tour;tour
touriste;tourist
tournoi;tournament
vers;toward
vers;towards
tour;tower
ville;town
jouet;toy
trace;trace
piste;track
commerce;trade
tradition;tradition
traditionnel;traditional
trafic;traffic
tragédie;tragedy
sentier;trail
train;train
formation;training
transfert;transfer
transformer;transform
transformation;transformation
transition;transition
Traduire;translate
transport;transportation
voyager;travel
soigner;treat
traitement;treatment
traité;treaty
arbre;tree
énorme;tremendous
tendance;trend
procs;trial
tribu;tribe
tromper;trick
voyage;trip
troupe;troop
problme;trouble
camion;truck
VRAI;true
vraiment;truly
confiance;trust
vérité;truth
essayer;try
tube;tube
tunnel;tunnel
tourner;turn
TV;TV
Douze;twelve
Vingt;twenty
deux fois;twice
Jumeau;twin
Deux;two
type;type
typique;typical
typiquement;typically
laid;ugly
ultime;ultimate
finalement;ultimately
incapable;unable
oncle;uncle
sous;under
subir;undergo
comprendre;understand
compréhension;understanding
malheureusement;unfortunately
uniforme;uniform
union;union
unique;unique
unité;unit
Uni;United
universel;universal
univers;universe
université;university
inconnu;unknown
Sinon;unless
dissemblable;unlike
improbable;unlikely
jusqu'à;until
inhabituel;unusual
en haut;up
sur;upon
supérieur;upper
urbain;urban
presser;urge
nous;us
utiliser;use
utilisé;used
utile;useful
utilisateur;user
habituel;usual
habituellement;usually
utilité;utility
vacances;vacation
vallée;valley
précieux;valuable
valeur;value
variable;variable
variation;variation
variété;variety
divers;various
varier;vary
vaste;vast
légume;vegetable
véhicule;vehicle
entreprise;venture
version;version
contre;versus
trs;very
bateau;vessel
vétéran;veteran
route;via
victime;victim
victoire;victory
vidéo;video
vue;view
spectateur;viewer
village;village
violer;violate
violation;violation
violence;violence
violent;violent
pratiquement;virtually
vertu;virtue
virus;virus
visible;visible
vision;vision
visite;visit
visiteur;visitor
visuel;visual
vital;vital
voix;voice
volume;volume
volontaire;volunteer
voter;vote
voter;voter
Vs;vs
vulnérable;vulnerable
salaire;wage
attendre;wait
réveiller;wake
marcher;walk
mur;wall
errer;wander
vouloir;want
était;war
chaud;warm
avertir;warn
avertissement;warning
laver;wash
gaspiller;waste
montre;watch
Eau;water
vague;wave
manire;way
nous;we
faible;weak
richesse;wealth
riche;wealthy
arme;weapon
porter;wear
temps;weather
mariage;wedding
semaine;week
weekend;weekend
hebdomadaire;weekly
peser;weigh
poids;weight
Bienvenue;welcome
bien-tre;welfare
puits;well
Ouest;west
occidental;western
mouillé;wet
quoi;what
quoi que;whatever
roue;wheel
quand;when
chaque fois que;whenever
où;where
tandis que;whereas
si;whether
quel;which
pendant que;while
Murmurer;whisper
blanc;white
qui;who
entier;whole
que;whom
dont;whose
pourquoi;why
large;wide
largement;widely
étendu;widespread
Femme;wife
sauvage;wild
volonté;will
disposé;willing
gagner;win
vent;wind
fentre;window
vin;wine
aile;wing
gagnant;winner
hiver;winter
essuyer;wipe
fil;wire
sagesse;wisdom
sage;wise
souhaiter;wish
avec;with
retirer;withdraw
dedans;within
sans;without
témoin;witness
femme;woman
Se demander;wonder
merveilleux;wonderful
bois;wood
en bois;wooden
mot;word
travail;work
travailleur;worker
travaillant;working
usine;works
atelier;workshop
monde;world
inquiet;worried
souci;worry
valeur;worth
serait;would
blessure;wound
envelopper;wrap
écrire;write
écrivain;writer
écriture;writing
erreur;wrong
yard;yard
oui;yeah
année;year
crier;yell
jaune;yellow
oui;yes
Hier;yesterday
encore;yet
rendement;yield
vous;you
jeune;young
votre;your
vôtre;yours
toi-mme;yourself
jeunesse;youth
zone;zone
